Country,Doses administered per 100 people,Total doses administered,% of population vaccinated,% of population fully vaccinated
Afghanistan,3.6,1381416.0,2.0,0.6
Albania,42.0,1203087.0,24.0,19.0
Algeria,7.9,3421279.0,7.9,1.7
Angola,5.0,1592537.0,3.0,2.0
Argentina,72.0,32335391.0,56.0,16.0
Armenia,5.8,171890.0,4.1,1.7
Aruba,130.0,138688.0,68.0,62.0
Australia,49.0,12393893.0,33.0,15.0
Austria,110.0,9747727.0,60.0,52.0
Azerbaijan,50.0,5041622.0,29.0,21.0
Bahamas,27.0,104521.0,16.0,11.0
Bahrain,142.0,2323034.0,68.0,65.0
Bangladesh,8.3,13455373.0,5.6,2.7
Barbados,61.0,175943.0,35.0,27.0
Belarus,23.0,2194993.0,14.0,9.1
Belgium,127.0,14541401.0,70.0,59.0
Belize,47.0,183581.0,34.0,13.0
Benin,0.5,57886.0,0.4,0.1
Bhutan,126.0,963360.0,64.0,63.0
Bolivia,39.0,4526177.0,25.0,14.0
Bosnia and Herzegovina,19.0,611641.0,12.0,7.0
Botswana,15.0,352407.0,9.9,5.4
Brazil,68.0,142559470.0,50.0,20.0
Brunei,38.0,163999.0,31.0,6.7
Bulgaria,29.0,2038611.0,15.0,14.0
Burkina Faso,0.2,37120.0,0.2,0.1
Cambodia,75.0,12427005.0,45.0,30.0
Cameroon,1.3,331875.0,1.1,0.2
Canada,132.0,49566034.0,72.0,60.0
Cape Verde,29.0,159446.0,26.0,3.3
Central African Republic,2.0,93790.0,1.8,0.2
Chad,0.2,29980.0,0.1,0.1
Chile,135.0,25649538.0,73.0,65.0
Colombia,55.0,27751197.0,36.0,24.0
Comoros,15.0,125960.0,10.0,4.8
Congo,0.1,81384.0,0.1,0.1
Costa Rica,63.0,3193895.0,47.0,17.0
Croatia,76.0,3080719.0,40.0,35.0
Cuba,87.0,9894050.0,35.0,23.0
Curaçao,111.0,175129.0,59.0,52.0
Cyprus,83.0,994390.0,45.0,38.0
Czech Republic,98.0,10417444.0,53.0,46.0
Denmark,127.0,7381165.0,72.0,55.0
Dominican Rep.,94.0,10148305.0,52.0,39.0
Ecuador,66.0,11419806.0,52.0,14.0
Egypt,5.3,5337506.0,3.7,1.6
El Salvador,68.0,4394410.0,45.0,23.0
Equatorial Guinea,23.0,306265.0,13.0,9.4
Estonia,86.0,1136634.0,48.0,37.0
Eswatini,5.7,65667.0,3.3,2.4
Ethiopia,2.0,2217097.0,2.0,
Fiji,71.0,628823.0,54.0,16.0
Finland,103.0,5660607.0,67.0,36.0
France,110.0,74071126.0,63.0,48.0
French Polynesia,58.0,161482.0,31.0,26.0
Gabon,4.0,87181.0,2.4,1.6
Gambia,1.9,43557.0,1.3,0.5
Georgia,14.0,506780.0,9.3,4.3
Germany,111.0,92376787.0,62.0,52.0
Ghana,4.2,1271393.0,2.8,1.3
Greece,99.0,10588397.0,53.0,49.0
Grenada,33.0,36524.0,19.0,14.0
Guatemala,13.0,2208301.0,11.0,2.0
Guinea,7.0,899257.0,4.4,2.6
Guinea-Bissau,1.3,25225.0,1.2,0.1
Guyana,50.0,389336.0,32.0,18.0
Haiti,0.1,6576.0,0.1,0.1
Honduras,20.0,1912232.0,16.0,3.2
Hong Kong,78.0,5787839.0,44.0,33.0
Hungary,,,58.0,56.0
Iceland,130.0,470374.0,74.0,70.0
India,35.0,472223639.0,27.0,7.6
Indonesia,25.0,68620908.0,18.0,7.7
Iran,12.0,10168674.0,9.3,2.9
Iraq,2.8,1087866.0,1.8,1.0
Ireland,119.0,5871111.0,67.0,56.0
Israel,123.0,11171936.0,64.0,59.0
Italy,115.0,69200779.0,64.0,53.0
Ivory Coast,4.0,1019898.0,4.0,
Jamaica,10.0,300902.0,6.1,4.1
Japan,71.0,89111989.0,41.0,30.0
Jordan,52.0,5265074.0,30.0,22.0
Kazakhstan,50.0,9266699.0,29.0,21.0
Kenya,3.3,1726193.0,2.0,1.3
Kyrgyzstan,9.3,600458.0,7.4,1.9
Laos,26.0,1895038.0,15.0,12.0
Latvia,71.0,1358218.0,40.0,36.0
Lebanon,29.0,1982156.0,16.0,12.0
Lesotho,3.4,72948.0,1.7,1.7
Liberia,1.9,95423.0,1.7,0.2
Libya,8.1,546745.0,8.1,
Lithuania,96.0,2678283.0,51.0,45.0
Luxembourg,115.0,710512.0,64.0,51.0
Macau,82.0,516374.0,45.0,37.0
Mainland China,121.0,1688683000.0,,
Malawi,3.2,594333.0,2.4,0.7
Malaysia,68.0,21668999.0,45.0,23.0
Maldives,111.0,590954.0,61.0,51.0
Mali,1.0,196862.0,0.7,0.3
Malta,151.0,760417.0,80.0,76.0
Mauritania,4.3,193776.0,3.9,0.3
Mauritius,91.0,1156482.0,50.0,41.0
Mexico,53.0,67594385.0,37.0,20.0
Moldova,40.0,1051038.0,21.0,19.0
Mongolia,129.0,4171546.0,68.0,62.0
Montenegro,54.0,333015.0,29.0,25.0
Morocco,67.0,24257310.0,38.0,28.0
Mozambique,2.3,691040.0,1.2,1.1
Namibia,8.5,211410.0,6.5,2.0
Nepal,22.0,6163462.0,15.0,7.0
Netherlands,114.0,19751575.0,68.0,50.0
New Caledonia,45.0,130078.0,24.0,21.0
New Zealand,36.0,1759154.0,22.0,14.0
Nicaragua,6.4,415640.0,3.9,2.5
Niger,1.8,423335.0,1.6,0.3
Nigeria,2.0,3938945.0,1.3,0.7
North Macedonia,43.0,904583.0,25.0,19.0
Norway,101.0,5407458.0,67.0,34.0
Oman,38.0,1887421.0,31.0,6.8
Pakistan,14.0,30590183.0,,3.0
Panama,61.0,2573226.0,44.0,16.0
Papua New Guinea,1.0,88343.0,0.9,0.1
Paraguay,30.0,2123997.0,26.0,4.1
Peru,40.0,13152285.0,25.0,16.0
Philippines,19.0,20863544.0,11.0,8.4
Poland,91.0,34463736.0,48.0,46.0
Portugal,119.0,12258752.0,69.0,56.0
Qatar,135.0,3831811.0,73.0,62.0
Republic of the Congo,3.7,198698.0,2.5,1.2
Romania,49.0,9413419.0,26.0,25.0
Russia,43.0,62369448.0,26.0,18.0
Rwanda,5.1,646909.0,3.4,2.0
Saint Lucia,31.0,57066.0,18.0,14.0
Saint Vincent and the Grenadines,23.0,25635.0,14.0,9.0
Samoa,47.0,92415.0,34.0,13.0
São Tomé and Príncipe,20.0,43960.0,15.0,5.5
Saudi Arabia,81.0,27810488.0,56.0,25.0
Senegal,5.6,906557.0,3.9,1.6
Serbia,80.0,5536170.0,41.0,39.0
Sierra Leone,2.9,225380.0,,
Singapore,134.0,7638279.0,76.0,60.0
Slovakia,78.0,4264872.0,42.0,37.0
Slovenia,83.0,1735702.0,44.0,39.0
Solomon Islands,6.0,40404.0,4.4,1.6
Somalia,1.6,249790.0,1.1,0.6
South Africa,13.0,7567757.0,10.0,5.1
South Korea,50.0,26000297.0,39.0,14.0
South Sudan,0.5,56989.0,0.5,0.1
Spain,121.0,56795869.0,68.0,58.0
Sri Lanka,57.0,12331868.0,46.0,10.0
Sudan,1.9,810560.0,1.5,0.4
Suriname,43.0,248618.0,32.0,11.0
Sweden,103.0,10565358.0,62.0,41.0
Switzerland,105.0,8984004.0,54.0,48.0
Syria,0.8,131221.0,0.7,0.1
Taiwan,35.0,8405085.0,34.0,1.7
Tajikistan,5.3,492066.0,5.0,0.3
Thailand,26.0,18198825.0,20.0,5.7
Timor-Leste,28.0,363269.0,21.0,6.7
Togo,5.6,454208.0,3.8,1.9
